timestamp,zone_id,demand_mw,demand_forecast_mw,price_per_mwh,temp_c,humidity,wind_speed,precipitation
2024-01-05 20:00:00+00,NYISO,18874,17612,49.126,3.4,48,10,0
2024-01-05 21:00:00+00,NYISO,19249,18189,55.205333333333336,2.7,52,9.6,0
2024-01-05 22:00:00+00,NYISO,19985,18926,65.666,0.1,64,6.8,0
2024-01-05 23:00:00+00,NYISO,20711,19847,60.18333333333333,-1,72,7.1,0
2024-01-06 00:00:00+00,NYISO,20490,19621,56.32866666666666,-1.6,76,8.9,0
2024-01-06 01:00:00+00,NYISO,20087,19140,52.669999999999995,-2.7,81,6.1,0
2024-01-06 02:00:00+00,NYISO,19562,18593,51.01,-3.2,84,6.9,0
2024-01-06 03:00:00+00,NYISO,18873,17940,48.43,-3.4,85,7.2,0
2024-01-06 04:00:00+00,NYISO,18051,17149,48.29066666666667,-4.3,89,8.2,0
2024-01-06 05:00:00+00,NYISO,17176,16357,44.22533333333333,-3.8,88,5.9,0
2024-01-06 06:00:00+00,NYISO,16481,15831,43.46,-4.4,89,8.2,0
2024-01-06 07:00:00+00,NYISO,16003,15385,41.192,-4.2,89,7.2,0
2024-01-06 08:00:00+00,NYISO,15702,15104,40.38866666666667,-2.7,83,3.6,0
2024-01-06 09:00:00+00,NYISO,15540,14978,40.434666666666665,-4.3,90,5.2,0
2024-01-06 10:00:00+00,NYISO,15558,15022,41.802,-3.1,88,4.2,0
2024-01-06 11:00:00+00,NYISO,15783,15365,44.36333333333334,-4,92,5.1,0
2024-01-06 12:00:00+00,NYISO,16310,15958,45.14933333333333,-2.5,87,4.7,0
2024-01-06 13:00:00+00,NYISO,16959,16653,44.55266666666667,-2,86,7.4,0
2024-01-06 14:00:00+00,NYISO,17465,17214,45.9,-0.9,82,7.2,0
2024-01-06 15:00:00+00,NYISO,17913,17545,44.67266666666667,0.5,77,7.8,0
2024-01-06 16:00:00+00,NYISO,18263,17680,46.37866666666666,2.1,69,8,0
2024-01-06 17:00:00+00,NYISO,18446,17665,44.416000000000004,1.7,73,10.9,0.1
2024-01-06 18:00:00+00,NYISO,18442,17544,44.092666666666666,1.7,78,12.6,0.6
2024-01-06 19:00:00+00,NYISO,18433,17499,44.809333333333335,1.4,82,15.5,0.5
2024-01-06 20:00:00+00,NYISO,18605,17550,45.89333333333333,1.1,88,16.3,0.8
2024-01-06 21:00:00+00,NYISO,18882,17775,50.97266666666667,1,98,28.1,1.5
2024-01-06 22:00:00+00,NYISO,19489,18219,55.36666666666667,1.6,96,22.4,3.5
2024-01-06 23:00:00+00,NYISO,20043,18865,48.346000000000004,2.1,95,23.7,3.3
2024-01-07 00:00:00+00,NYISO,19975,18738,47.17066666666666,3.2,93,27,4.9
2024-01-07 01:00:00+00,NYISO,19627,18363,44.589333333333336,3.4,94,27.4,0.7
2024-01-07 02:00:00+00,NYISO,19160,17968,43.61266666666667,4.5,95,18,3.6
2024-01-07 03:00:00+00,NYISO,18492,17414,41.678000000000004,4.7,96,19.6,3.2
2024-01-07 04:00:00+00,NYISO,17725,16709,41.175333333333334,4.7,96,20.9,0.8
2024-01-07 05:00:00+00,NYISO,16908,15966,40.46933333333333,4.7,95,24.8,0.1
2024-01-07 06:00:00+00,NYISO,16204,15267,37.169999999999995,4.6,93,23.8,0
2024-01-07 07:00:00+00,NYISO,15707,14777,34.59866666666667,3.8,94,21.6,0
2024-01-07 08:00:00+00,NYISO,15381,14448,35.058,3.5,93,17.1,0
2024-01-07 09:00:00+00,NYISO,15155,14285,34.20333333333333,3.4,93,12.2,0.1
2024-01-07 10:00:00+00,NYISO,15114,14273,34.57333333333334,3,95,13.8,0.4
